鄉鎮市�,amount.x,...1,Unnamed..0,學校級�,代碼,School,City,地址,電話,地區屬�,longitude,latitude,newLat,newLng,isInServic,inServiceU,amount.y
士林區,1794,2495,2495,國民小學,413615,市立天母國小,臺北市,[111]臺北市士林區天玉里天玉街12號,(02)28723336,NA,121.527457,25.119736,25.1197914,121.5275331,1,1,1794
大同區,1000,2420,2420,國民小學,363605,市立雙蓮國小,臺北市,[103]臺北市大同區民權里錦西街51號,(02)25570309,NA,121.516672,25.060118,25.0601292,121.5167604,1,1,1000
大安區,2329,2391,2391,國民小學,333605,市立仁愛國小,臺北市,[106]臺北市大安區敦安里安和路1段60號,(02)27095010,NA,121.552386,25.035792,25.033995,121.552172,1,1,2329
中山區,1532,2397,2397,國民小學,343601,市立中山國小,臺北市,[104]臺北市中山區恆安里民權東路1段69號,(02)25914085,NA,121.526315,25.062914,25.0621027,121.5378875,1,1,1532
中正區,1806,2413,2413,國民小學,353606,市立東門國小,臺北市,[100]臺北市中正區東門里仁愛路一段2-4號,(02)23412822,NA,121.520643,25.038022,25.038555,121.5218006,1,1,1806
內湖區,1854,2470,2470,國民小學,403604,市立東湖國小,臺北市,[114]臺北市內湖區東湖里東湖路115號,(02)26339984,NA,121.615782,25.06854,25.0690833,121.616145,1,1,1854
文山區,1511,2438,2438,國民小學,381601,私立靜心小學,臺北市,[116]臺北市文山區興福里興隆路2段46號,(02)29323118,NA,121.546673,24.99896,24.9985757,121.5470355,1,1,1511
北投區,2417,2503,2503,國民小學,423603,市立石牌國小,臺北市,[112]臺北市北投區吉利里致遠二路80號,(02)28227484,NA,121.511745,25.11569,25.1156862,121.5117748,1,1,2417
松山區,2188,2368,2368,國民小學,313604,市立敦化國小,臺北市,[105]臺北市松山區中正里敦化北路2號,(02)27414065,NA,121.548541,25.049103,25.0491723,121.5485239,1,1,2188
信義區,2051,2382,2382,國民小學,323609,市立博愛國小,臺北市,[110]臺北市信義區松仁路22鄰95巷20號,(02)23450616,NA,121.571139,25.036444,25.0395323,121.5675875,1,1,2051
南港區,1369,2460,2460,國民小學,393601,市立南港國小,臺北市,[115]臺北市南港區三重里惠民街67號,(02)27834678,NA,121.610426,25.057483,25.0574474,121.610126,1,1,1369
萬華區,1117,2425,2425,國民小學,371601,私立光仁小學,臺北市,[108]臺北市萬華區壽德里萬大路423巷15號,(02)23032874,NA,121.499739,25.021337,25.0216581,121.4995811,1,1,1117
大甲區,1330,746,746,國民小學,64665,市立大甲國小,臺中市,[437]臺中市大甲區文武里育德路233號,(04)26872048,NA,120.825113,24.505323,24.3511578,120.626394,1,1,1330
大安區,220,763,763,國民小學,64682,市立大安國小,臺中市,[439]臺中市大安區中庄里中山南路296號,(04)26713166,NA,120.711465,24.301472,24.3446936,120.5882533,1,1,220
大肚區,966,781,781,國民小學,64700,市立大肚國小,臺中市,[432]臺中市大肚區頂街里華山路77號,(04)26992016,NA,120.535156,24.072469,24.162799,120.543284,1,1,966
大里區,1983,789,789,國民小學,64708,市立塗城國小,臺中市,[412]臺中市大里區仁德里文化街120號,(04)24922935,NA,120.82431,24.564225,24.0928822,120.7002666,1,1,1983
大雅區,1668,701,701,國民小學,64620,市立大雅國小,臺中市,[428]臺中市大雅區二和里學府路230號,(04)25667766,NA,120.677612,24.11118,24.2221578,120.6499832,1,1,1668
中區,658,2234,2234,國民小學,193601,市立中區光復國小,臺中市,[400]臺中市中區三民路二段148號,(04)22294174,NA,120.681722,24.143926,24.144027,120.6814649,1,1,658
太平區,1756,831,831,國民小學,64750,市立新平國小,臺中市,[411]臺中市太平區樹孝路336巷9號,(04)23914533,NA,120.757675,24.557486,24.1547749,120.719806,1,1,1756
北屯區,1898,2293,2293,國民小學,193660,市立仁美國小,臺中市,[406]臺中市北屯區崇德路三段568號,(04)24211136,NA,120.686824,24.192226,24.1917963,120.686661,1,1,1898
北區,2004,2287,2287,國民小學,193654,市立賴厝國小,臺中市,[404]臺中市北區漢口路四段168號,(04)22302388,NA,120.678705,24.166536,24.1669163,120.6786554,1,1,2004
外埔區,761,711,711,國民小學,64630,市立外埔國小,臺中市,[438]臺中市外埔區大同里外埔路878號,(04)26832865,NA,120.827271,24.260237,24.3323455,120.6536055,1,1,761
后里區,1410,690,690,國民小學,64609,市立內埔國小,臺中市,[421]臺中市后里區文化路30號,(04)25562003,NA,120.710025,24.21244,24.3070668,120.714965,1,1,1410
西屯區,1822,2257,2257,國民小學,193624,市立西屯區永安國小,臺中市,[407]臺中市西屯區西屯路三段133號,(04)24624470,NA,120.624741,24.184434,24.1848454,120.6250818,1,1,1822
西區,1880,2277,2277,國民小學,193644,市立大勇國小,臺中市,[403]臺中市西區忠明南路515號,(04)23755959,NA,120.657802,24.134485,24.1344203,120.6575022,1,1,1880
沙鹿區,1884,759,759,國民小學,64678,市立北勢國小,臺中市,[433]臺中市沙鹿區六路里南陽路376號,(04)26315032,NA,120.704019,24.239767,24.2169017,120.5715525,1,1,1884
東區,1245,2239,2239,國民小學,193606,市立力行國小,臺中市,[401]臺中市東區進化路223號,(04)23604412,NA,120.693933,24.150695,24.1507852,120.6941854,1,1,1245
東勢區,747,716,716,國民小學,64635,市立東勢國小,臺中市,[423]臺中市東勢區廣興里第五橫街1號,(04)25873442,NA,120.990551,24.765726,24.2585211,120.8315558,1,1,747
南屯區,2563,2289,2289,國民小學,193656,市立惠文國小,臺中市,[408]臺中市南屯區公益路二段300號,(04)22596907,NA,120.638105,24.152165,24.1516645,120.6383031,1,1,2563
南區,1677,2290,2290,國民小學,193657,市立樹義國小,臺中市,[402]臺中市南區福田路11號,(04)22657298,NA,120.657403,24.11197,24.1114904,120.6573105,1,1,1677
烏日區,1183,824,824,國民小學,64743,市立九德國小,臺中市,[414]臺中市烏日區長春街300號,(04)23366540,NA,120.708963,24.559298,24.1096853,120.6384379,1,1,1183
神岡區,1162,698,698,國民小學,64617,市立社口國小,臺中市,[429]臺中市神岡區社南里社南街136號,(04)25626834,NA,120.719165,24.079751,24.2449585,120.6860126,1,1,1162
梧棲區,1240,838,838,國民小學,64757,市立大德國小,臺中市,[435]臺中市梧棲區大村里文昌路343號,(04)26568928,NA,120.935011,24.686117,24.2435748,120.5426484,1,1,1240
清水區,1607,733,733,國民小學,64652,市立清水國小,臺中市,[436]臺中市清水區光華路125號,(04)26222004,NA,121.005699,24.830828,24.2671062,120.5734521,1,1,1607
潭子區,1815,841,841,國民小學,64760,市立頭家國小,臺中市,[427]臺中市潭子區得福街185號,(04)25325532,NA,120.912928,24.675119,24.1970044,120.6961749,1,1,1815
龍井區,848,773,773,國民小學,64692,市立龍峰國小,臺中市,[434]臺中市龍井區新庄里中沙路2號,(04)26314707,NA,120.64383,24.229084,24.1795566,120.5760346,1,1,848
豐原區,2732,684,684,國民小學,64603,市立南陽國小,臺中市,[420]臺中市豐原區中陽里南陽路440號,(04)25222521,NA,120.529644,24.184333,24.2483824,120.722747,1,1,2732
霧峰區,999,793,793,國民小學,64712,市立霧峰國小,臺中市,[413]臺中市霧峰區中正路736號,(04)23393069,NA,120.827259,24.572949,24.0569376,120.6978555,1,1,999
大甲區,59,752,752,國民小學,64671,市立東明國小,臺中市,[437]臺中市大甲區幸福里東明路93號,(04)26814404,偏遠,120.721218,24.255394,24.3747868,120.6804875,1,0,59
大安區,113,766,766,國民小學,64685,市立大安區永安國小,臺中市,[439]臺中市大安區永安里東西四路252號,(04)26874931,偏遠,120.660782,24.258379,24.3822593,120.606247,1,0,113
太平區,95,808,808,國民小學,64727,市立頭汴國小,臺中市,[411]臺中市太平區頭汴里北田路20號,(04)22703129#82,NA,120.785795,24.464505,24.1230988,120.7514622,1,0,95
北屯區,215,2270,2270,國民小學,193637,市立北屯區大坑國小,臺中市,[406]臺中市北屯區東山路二段112號,(04)22390748,偏遠,120.748181,24.195971,24.1963669,120.7478171,1,0,215
外埔區,58,713,713,國民小學,64632,市立鐵山國小,臺中市,[438]臺中市外埔區鐵山里長生路576號,(04)26835033,偏遠,120.716408,24.112971,24.3490012,120.6567071,1,0,58
石岡區,269,724,724,國民小學,64643,市立石岡國小,臺中市,[422]臺中市石岡區石岡里石岡街123號,(04)25723006,NA,121.208948,24.677794,24.2764836,120.7739314,1,0,269
沙鹿區,61,761,761,國民小學,64680,市立公館國小,臺中市,[433]臺中市沙鹿區西勢里中航路2段1號,(04)26154353,NA,120.729432,24.309983,24.2604779,120.5956488,1,0,61
東勢區,81,719,719,國民小學,64638,市立東勢區成功國小,臺中市,[423]臺中市東勢區慶東里東關路298號,(04)25852040,偏遠,121.020433,24.689114,24.2079072,120.8396209,1,0,81
清水區,125,740,740,國民小學,64659,市立大楊國小,臺中市,[436]臺中市清水區楊厝里鱉海路325號,(04)26200634,偏遠,120.911789,24.694785,24.2894947,120.6056064,1,0,125
新社區,488,726,726,國民小學,64645,市立新社國小,臺中市,[426]臺中市新社區新社里興社街4段1巷2號,(04)25811204,NA,121.301204,24.660115,24.2407254,120.8096693,1,0,488
龍井區,85,771,771,國民小學,64690,市立龍港國小,臺中市,[434]臺中市龍井區麗水里三港路1號,(04)26395586,偏遠,120.651106,24.222238,24.1984604,120.50125,1,0,85
霧峰區,352,830,830,國民小學,64749,市立吉峰國小,臺中市,[413]臺中市霧峰區吉峰里民生路349號,(04)23300893,NA,120.727834,24.425579,24.0797509,120.7188512,1,0,352
臺東市,1016,1925,1925,國民小學,140601,國立臺東大學附小,臺東縣,[950]臺東縣臺東市博愛路345號,(089)322047,偏遠,120.719029,23.128565,22.755107,121.147499,1,1,1016
池上鄉,176,1972,1972,國民小學,144651,縣立福原國小,臺東縣,[958]臺東縣池上鄉福原村中華路17號,(089)862017,偏遠,120.458658,22.570627,23.1248912,121.2155234,1,0,176
卑南鄉,76,1951,1951,國民小學,144627,縣立大南國小,臺東縣,[954]臺東縣卑南鄉東興村東園一街40號,(089)382402,偏遠,120.498791,22.669079,22.7641509,121.0433657,1,0,76
海端鄉,52,2005,2005,國民小學,144695,縣立初來國小,臺東縣,[957]臺東縣海端鄉海端村七鄰5號,(08)9931049,偏遠,120.629386,22.322624,23.1305611,121.1756856,1,0,52
關山鎮,28,1970,1970,國民小學,144649,縣立德高國小,臺東縣,[956]臺東縣關山鎮德高里7鄰永豐16號,(08)9931149,偏遠,120.480252,22.562159,23.0738293,121.1777501,1,0,28
馬公市,658,2151,2151,國民小學,164645,縣立文澳國小,澎湖縣,[880]澎湖縣馬公市西文里文學路221號,(06)9212412,偏遠,119.583207,23.564518,23.5652977,119.5830328,1,1,658
馬公市,80,2124,2124,國民小學,164609,縣立五德國小,澎湖縣,[880]澎湖縣馬公市五德里32號,(06)9951327,偏遠,119.590752,23.527648,23.5267315,119.5876075,1,0,80
湖西鄉,75,2130,2130,國民小學,164616,縣立湖西國小,澎湖縣,[885]澎湖縣湖西鄉湖西村151號,(06)9921008,偏遠,119.662177,23.584355,23.5823171,119.6571596,1,0,75
金城鎮,1170,2607,2607,國民小學,714603,縣立中正國小,金門縣,[893]金門縣金城鎮珠浦北路38號,(082)325645,NA,118.316875,24.434782,24.4341414,118.3168436,1,0,1170
金湖鎮,604,2605,2605,國民小學,714601,縣立金湖國小,金門縣,[891]金門縣金湖鎮新市里林森路12號,(082)335977,NA,118.415547,24.442807,24.4426125,118.4151678,1,0,604
金寧鄉,351,2618,2618,國民小學,714614,縣立金鼎國小,金門縣,[892]金門縣金寧鄉盤山村下堡123號,(082)325700,偏遠,118.337847,24.447709,24.4467932,118.3432727,1,0,351
七股區,53,1523,1523,國民小學,114691,市立大文國小,臺南市,[724]臺南市七股區大寮里36之2號,(06)7872730,偏遠,120.451251,23.707508,23.1457093,120.1524351,1,1,53
中西區,998,2318,2318,國民小學,210601,國立臺南大學附小,臺南市,[700]臺南市中西區樹林街二段31號,(06)2132566,NA,120.208999,22.985972,22.9861819,120.2094693,1,1,998
仁德區,994,1441,1441,國民小學,114601,市立仁德國小,臺南市,[717]臺南市仁德區中正路二段806號,(06)2794570,NA,120.927625,23.562256,22.9620834,120.2537851,1,1,994
北區,2395,2361,2361,國民小學,213642,市立文元國小,臺南市,[704]臺南市北區海安路三段815號,(06)3584371,NA,120.199951,23.015355,23.0154281,120.2000907,1,1,2395
永康區,2325,1461,1461,國民小學,114623,市立永康國小,臺南市,[710]臺南市永康區永康里中山南路637號,(06)2324462,NA,121.148787,24.028052,23.0265964,120.2550815,1,1,2325
安平區,1875,2363,2363,國民小學,213644,市立億載國小,臺南市,[708]臺南市安平區郡平路310號,(06)2932371,NA,120.16373,22.989998,22.9897575,120.1637581,1,1,1875
安定區,456,1493,1493,國民小學,114657,市立南安國小,臺南市,[745]臺南市安定區南安里62號,(06)5922023,NA,120.586479,23.687007,23.1052556,120.2267506,1,1,456
安南區,2207,2347,2347,國民小學,213628,市立海東國小,臺南市,[709]臺南市安南區安中路三段381號,(06)2567146,NA,120.174806,23.049024,23.0482152,120.1753024,1,1,2207
佳里區,1245,1503,1503,國民小學,114668,市立佳里國小,臺南市,[722]臺南市佳里區安西里公園路445號,(06)7222031,NA,120.511312,23.657424,23.1642878,120.1726507,1,1,1245
柳營區,254,1578,1578,國民小學,114758,市立柳營國小,臺南市,[736]臺南市柳營區士林里柳營路一段755號,(06)6222124,NA,120.278605,23.622545,23.2753735,120.3126116,1,1,254
麻豆區,955,1495,1495,國民小學,114659,市立麻豆國小,臺南市,[721]臺南市麻豆區東角里文昌路18號,(06)5722145,NA,120.578893,23.764445,23.1859269,120.2529393,1,1,955
善化區,1339,1486,1486,國民小學,114650,市立大成國小,臺南市,[741]臺南市善化區大成路385號,(06)5837520,NA,120.60786,23.611958,23.1290531,120.294829,1,1,1339
新化區,872,1468,1468,國民小學,114630,市立新化國小,臺南市,[712]臺南市新化區中山路173號,(06)5902035,NA,120.552557,23.679231,23.0376479,120.311004,1,1,872
新市區,1615,1490,1490,國民小學,114654,市立新市國小,臺南市,[744]臺南市新市區中興街1號,(06)5992895,NA,120.537411,23.611904,23.0785233,120.2954261,1,1,1615
新營區,1103,1554,1554,國民小學,114728,市立新營國小,臺南市,[730]臺南市新營區中正路4號,(06)6322136,NA,120.464223,23.748017,23.3064753,120.3174915,1,1,1103
歸仁區,1159,1597,1597,國民小學,114778,市立文化國小,臺南市,[711]臺南市歸仁區文化街二段136號,(06)3301666,NA,120.151769,23.633752,22.9711829,120.2893318,1,1,1159
關廟區,670,1454,1454,國民小學,114614,市立五甲國小,臺南市,[718]臺南市關廟區和平路246號,(06)5952155,NA,121.189337,24.148298,22.9584949,120.3338947,1,1,670
鹽水區,475,1563,1563,國民小學,114737,市立鹽水國小,臺南市,[737]臺南市鹽水區朝琴路137號,(06)6521046,NA,120.398845,23.767098,23.3227,120.271058,1,1,475
七股區,126,1515,1515,國民小學,114681,市立七股國小,臺南市,[724]臺南市七股區大埕里395號,(06)7872076,NA,120.459585,23.64732,23.1453614,120.144496,1,0,126
下營區,395,1545,1545,國民小學,114716,市立東興國小,臺南市,[735]臺南市下營區新興里東興一街112號,(06)6892478,NA,120.204089,23.6757,23.2393524,120.2673518,1,0,395
山上區,160,1472,1472,國民小學,114635,市立山上國小,臺南市,[743]臺南市山上區南洲里42號,(06)5781203,NA,120.537611,23.674139,23.0958254,120.3478746,1,0,160
安南區,79,2351,2351,國民小學,213632,市立鎮海國小,臺南市,[709]臺南市安南區大眾路381號,(06)2841700,偏遠,120.134458,23.019061,23.0190055,120.1341692,1,0,79
西港區,546,1510,1510,國民小學,114675,市立西港國小,臺南市,[723]臺南市西港區進學街60號,(06)7952005,NA,120.492942,23.764036,23.1228784,120.1994959,1,0,546
佳里區,91,1506,1506,國民小學,114671,市立塭內國小,臺南市,[722]臺南市佳里區龍安里40號,(06)7891054,偏遠,120.498563,23.757136,23.1297701,120.1675902,1,0,91
東山區,36,1591,1591,國民小學,114771,市立聖賢國小,臺南市,[733]臺南市東山區聖賢里田尾29號,(06)6353170,偏遠,120.336161,23.658573,23.306869,120.362123,1,0,36
南區,88,2330,2330,國民小學,213611,市立龍崗國小,臺南市,[702]臺南市南區鯤鯓里鯤鯓路147號,(06)2620024,偏遠,120.169558,22.961379,22.961461,120.1694619,1,0,88
後壁區,70,1585,1585,國民小學,114765,市立安溪國小,臺南市,[731]臺南市後壁區長安里5號,(06)6361535,偏遠,120.328302,23.636928,23.3347501,120.3594043,1,0,70
柳營區,83,1580,1580,國民小學,114760,市立重溪國小,臺南市,[736]臺南市柳營區重溪里義士路二段2號,(06)6231824,NA,120.284816,23.555987,23.2856412,120.3642035,1,0,83
將軍區,223,1526,1526,國民小學,114694,市立漚汪國小,臺南市,[725]臺南市將軍區長榮里4號,(06)7942012,NA,120.433718,23.703392,23.1900666,120.161817,1,0,223
麻豆區,82,1500,1500,國民小學,114664,市立北勢國小,臺南市,[721]臺南市麻豆區北勢里15號,(06)5722844,偏遠,120.479492,23.680296,23.2064745,120.2368486,1,0,82
善化區,546,1489,1489,國民小學,114653,市立小新國小,臺南市,[741]臺南市善化區小新里97之3號,(06)5837019,NA,120.574737,23.596448,23.1309463,120.3336151,1,0,546
新化區,114,1470,1470,國民小學,114632,市立口埤實驗小學,臺南市,[712]臺南市新化區知義里口埤88號,(06)5901445,偏遠,120.5393,23.70783,23.0251369,120.3487078,1,0,114
新市區,257,1491,1491,國民小學,114655,市立大社國小,臺南市,[744]臺南市新市區大社里39號,(06)5991593,NA,120.618385,23.641955,23.0903938,120.3291365,1,0,257
新營區,47,1561,1561,國民小學,114735,市立土庫國小,臺南市,[730]臺南市新營區土庫里71之1號,(06)6362323,偏遠,120.413967,23.817097,23.3202733,120.3392266,1,0,47
學甲區,385,1540,1540,國民小學,114710,市立東陽國小,臺南市,[726]臺南市學甲區華宗路260號,(06)7833322,NA,120.284993,23.682871,23.22875,120.1838484,1,0,385
龍崎區,52,1460,1460,國民小學,114620,市立龍崎國小,臺南市,[719]臺南市龍崎區崎頂里新市子41號,(06)5941204,偏遠,121.192195,24.059516,22.966918,120.359124,1,0,52
關廟區,59,1457,1457,國民小學,114617,市立文和國小,臺南市,[718]臺南市關廟區布袋里長文街37號,(06)5551937,偏遠,121.186213,24.035074,22.919336,120.3473046,1,0,59
鹽水區,72,1564,1564,國民小學,114738,市立歡雅國小,臺南市,[737]臺南市鹽水區歡雅里31號,(06)6552558,NA,120.347004,23.758683,23.2869972,120.2368486,1,0,72
南區,828,2332,2332,國民小學,213613,市立永華國小,臺南市,[702]臺南市南區中華西路一段2巷17號,(06)2641457,NA,120.186984,22.964293,22.9637029,120.1865679,1,1,828
東區,1666,2325,2325,國民小學,213606,市立崇學國小,臺南市,[701]臺南市東區崇學路98號,(06)2689951,NA,120.223351,22.979564,22.9794998,120.2232004,1,1,1666
五結鄉,492,261,261,國民小學,24649,縣立五結國小,宜蘭縣,[268]宜蘭縣五結鄉國民路1號,(03)9507272,NA,121.763212,24.72447,24.6887633,121.8050125,1,1,492
冬山鄉,567,266,266,國民小學,24654,縣立冬山國小,宜蘭縣,[269]宜蘭縣冬山鄉安平村安中路35號,(03)9593504,NA,121.766365,24.679607,24.6324953,121.7899271,1,1,567
宜蘭市,1346,222,222,國民小學,24608,縣立黎明國小,宜蘭縣,[260]宜蘭縣宜蘭市校舍路1號,(03)9383792,NA,121.455404,25.051403,24.7519701,121.7642722,1,1,1346
員山鄉,269,248,248,國民小學,24634,縣立員山國小,宜蘭縣,[264]宜蘭縣員山鄉員山村復興路39號,(03)9224061,NA,121.656845,25.060713,24.7442688,121.7228779,1,1,269
頭城鎮,508,237,237,國民小學,24623,縣立頭城國小,宜蘭縣,[261]宜蘭縣頭城鎮開蘭路282號,(03)9771011,NA,121.627219,25.06872,24.8629826,121.8273255,1,1,508
礁溪鄉,654,243,243,國民小學,24629,縣立礁溪國小,宜蘭縣,[262]宜蘭縣礁溪鄉大忠村礁溪路四段135號,(03)9882047,NA,121.419406,25.160305,24.8214103,121.7695196,1,1,654
羅東鎮,1448,226,226,國民小學,24612,縣立公正國小,宜蘭縣,[265]宜蘭縣羅東鎮公正路199號,(03)9566659,NA,121.470993,25.091454,24.6792949,121.7666654,1,1,1448
蘇澳鎮,582,230,230,國民小學,24616,縣立馬賽國小,宜蘭縣,[270]宜蘭縣蘇澳鎮永榮里大同路108號,(03)9902694,NA,121.447991,25.056275,24.6215957,121.8345477,1,1,582
三星鄉,124,274,274,國民小學,24662,縣立大洲國小,宜蘭縣,[266]宜蘭縣三星鄉大洲村上將路二段500號,(03)9551547,NA,121.868385,24.578911,24.694068,121.727853,1,0,124
大同鄉,93,278,278,國民小學,24668,縣立四季國小,宜蘭縣,[267]宜蘭縣大同鄉四季村和勳巷1號,(03)9809312,特偏,121.82063,24.825164,24.4880169,121.4260099,1,0,93
冬山鄉,516,2636,2636,附設國民小學,24325,縣立慈心華德福實中附設國小,宜蘭縣,[269]宜蘭縣冬山鄉照安路257號,(039)596222,NA,121.794986,24.626305,24.6263853,121.7947056,1,0,516
壯圍鄉,392,2635,2635,附設國民小學,21310,私立中道高中附設國小,宜蘭縣,[263]宜蘭縣壯圍鄉功勞村中央路三段312巷7號,(03)9306696,NA,121.793369,24.758948,24.7596509,121.7931918,1,0,392
員山鄉,143,254,254,國民小學,24640,縣立內城國(中)小,宜蘭縣,[264]宜蘭縣員山鄉內城村內城路545號,(03)9221846,NA,121.44451,25.186023,24.7188831,121.6875013,1,0,143
頭城鎮,85,238,238,國民小學,24624,縣立竹安國小,宜蘭縣,[261]宜蘭縣頭城鎮竹安里頭濱路一段601號,(03)9771178,NA,121.37852,24.929829,24.825115,121.820763,1,0,85
礁溪鄉,73,246,246,國民小學,24632,縣立玉田國小,宜蘭縣,[262]宜蘭縣礁溪鄉茅埔路24號,(03)9882461,NA,121.463854,25.089298,24.796754,121.790642,1,0,73
