...1,Unnamed..0,學校級別,代碼,School,City,鄉鎮市區.x,地址,電話,地區屬性,longitude,latitude,newLat,newLng,isInService_foodpanda,inServiceUber
2158,2158,國民小學,173605,市立八斗國小,基隆市,中正區,[202]基隆市中正區北寧路396巷52號,(02)24693391,NA,121.797204,25.138063,25.1380963,121.797648,1,1
2174,2174,國民小學,173621,市立中山國小,基隆市,中山區,[203]基隆市中山區通仁街28號,(02)24223053,NA,121.737746,25.145886,25.1459704,121.7359392,1,1
2163,2163,國民小學,173610,市立東光國小,基隆市,信義區,[201]基隆市信義區東信路236巷16號,(02)24650329,NA,121.763169,25.129009,25.1295476,121.7630173,1,1
2171,2171,國民小學,173618,市立武崙國小,基隆市,安樂區,[204]基隆市安樂區武崙街203號,(02)24310018,NA,121.707344,25.138812,25.1390547,121.7062418,1,1
2167,2167,國民小學,173614,市立南榮國小,基隆市,仁愛區,[200]基隆市仁愛區南榮路321號,(02)24223038,NA,121.743896,25.119363,25.1196,121.7435939,1,1
2182,2182,國民小學,173629,市立堵南國小,基隆市,七堵區,[206]基隆市七堵區大德路120號,(02)24511339,NA,121.692171,25.083247,25.083334,121.6920705,1,1
2316,2316,國民小學,203618,市立港坪國小,嘉義市,西區,[600]嘉義市四維路63號,(05)2369037,NA,120.424545,23.47935,23.4790693,120.4243752,1,1
2195,2195,國民小學,173642,市立暖西國小,基隆市,暖暖區,[205]基隆市暖暖區暖暖街350號,(02)24588583,NA,121.735197,25.093846,25.0945954,121.734898,1,1
2312,2312,國民小學,203614,市立蘭潭國小,嘉義市,東區,[600]嘉義市東區小雅路419號,(05)2763492,NA,120.47149,23.4753,23.4757094,120.4710064,1,1
1758,1758,國民小學,131601,私立崇華國小,屏東縣,長治鄉,[908]屏東縣長治鄉復興村新興路38號,(08)7626365,NA,120.243335,23.292587,22.6819902,120.5472718,1,1
247,247,國民小學,24633,縣立三民國小,宜蘭縣,礁溪鄉,[262]宜蘭縣礁溪鄉三民村十六結路100號,(03)9882271,NA,121.901517,25.065806,24.8130527,121.7599778,1,1
871,871,國民小學,74625,縣立三春國小,彰化縣,花壇鄉,[503]彰化縣花壇鄉三春村三芬路47號,(04)7862154,NA,120.874367,24.443921,24.0162969,120.5664046,1,1
884,884,國民小學,74638,縣立大同國小,彰化縣,伸港鄉,[509]彰化縣伸港鄉大同村彰新路七段724號,(04)7982307,NA,120.848562,24.337764,24.1600433,120.4919677,1,1
856,856,國民小學,74610,縣立大竹國小,彰化縣,彰化市,[500]彰化縣彰化市彰南路二段164巷41號,(04)7381436,NA,120.894032,24.624249,24.0837997,120.5804658,1,1
1831,1831,國民小學,134676,縣立大明國小,屏東縣,竹田鄉,[911]屏東縣竹田鄉泗洲村洲中路40號,(08)7887780,偏遠,120.348318,22.701362,22.5755662,120.524909,1,1
1206,1206,國民小學,94643,縣立大埤國小,雲林縣,大埤鄉,[631]雲林縣大埤鄉南和村中正路23號,(05)5912007,NA,120.376114,23.874441,23.6445964,120.431583,1,1
253,253,國民小學,24639,縣立大湖國小,宜蘭縣,員山鄉,[264]宜蘭縣員山鄉湖東村蜊埤路55號,(03)9223584,NA,121.372859,25.082737,24.7493968,121.6935701,1,1
678,678,國民小學,54723,縣立山佳國小,苗栗縣,竹南鎮,[350]苗栗縣竹南鎮山佳里龍山路三段39號,(037)612839,NA,120.570096,24.255859,24.7019155,120.878402,1,1
1873,1873,國民小學,134720,縣立山海國小,屏東縣,恆春鎮,[946]屏東縣恆春鎮山海里山海路86號,(08)8869026,特偏,120.181985,22.903281,22.0008277,120.7447638,1,1
593,593,國民小學,54629,縣立山腳國小,苗栗縣,苑裡鎮,[358]苗栗縣苑裡鎮舊社里10鄰47號,(037)745024,NA,120.666499,23.727807,24.4155437,120.6818181,1,1
2119,2119,國民小學,164604,縣立中山國小,澎湖縣,馬公市,[880]澎湖縣馬公市案山里大案山25之6號,(06)9211342,偏遠,119.5822,23.556702,23.5587104,119.5807378,1,1
1058,1058,國民小學,84636,縣立中原國小,南投縣,草屯鎮,[542]南投縣草屯鎮中原里坪腳巷20號,(049)2554631,NA,120.480162,23.950044,23.9848113,120.7212195,1,1
2022,2022,國民小學,154608,縣立中華國小,花蓮縣,花蓮市,[970]花蓮縣花蓮市國盛二街22號,(03)8324308,NA,120.629041,22.42766,23.9924783,121.6067409,1,1
261,261,國民小學,24649,縣立五結國小,宜蘭縣,五結鄉,[268]宜蘭縣五結鄉國民路1號,(03)9507272,NA,121.763212,24.72447,24.6887633,121.8050125,1,1
226,226,國民小學,24612,縣立公正國小,宜蘭縣,羅東鎮,[265]宜蘭縣羅東鎮公正路199號,(03)9566659,NA,121.470993,25.091454,24.6792949,121.7666654,1,1
575,575,國民小學,54609,縣立公館國小,苗栗縣,公館鄉,[363]苗栗縣公館鄉館中村大同路15號,(037)230103,NA,121.012591,24.83676,24.499476,120.827779,1,1
1379,1379,國民小學,104669,縣立太保國小,嘉義縣,太保市,[612]嘉義縣太保市太保里太保31號,(05)3711015,NA,121.631002,23.99183,23.464594,120.331063,1,1
570,570,國民小學,54604,縣立文山國小,苗栗縣,苗栗市,[360]苗栗縣苗栗市文山里4鄰文山41號,(037)320406,NA,121.098805,24.713739,24.5701397,120.8139998,1,1
886,886,國民小學,74640,縣立文開國小,彰化縣,鹿港鎮,[505]彰化縣鹿港鎮新宮里文開路60號,(04)7772042,NA,120.142087,23.562628,24.0566937,120.4301143,1,1
1350,1350,國民小學,104635,縣立月眉國小,嘉義縣,新港鄉,[616]嘉義縣新港鄉月眉村20鄰123號,(05)3772059,NA,120.96138,22.595122,23.5175007,120.3637277,1,1
1313,1313,國民小學,94753,縣立水燦林國小,雲林縣,水林鄉,[652]雲林縣水林鄉水北村水林路6號,(05)7852845,NA,121.075772,22.790805,23.5726297,120.2466527,1,1
1843,1843,國民小學,134689,縣立以栗國小,屏東縣,東港鎮,[928]屏東縣東港鎮船頭里船頭路25號,(08)8322816,NA,120.28671,22.785034,22.4606022,120.462372,1,1
1006,1006,國民小學,74760,縣立民權國小,彰化縣,芳苑鄉,[528]彰化縣芳苑鄉五俊村新生巷5之1號,(04)8932625,偏遠,120.612007,24.068545,23.9327923,120.3478408,1,1
1254,1254,國民小學,94692,縣立永定國小,雲林縣,二崙鄉,[649]雲林縣二崙鄉永定村永定路238號,(05)5982796,NA,120.677518,23.912723,23.7960377,120.4191249,1,1
939,939,國民小學,74693,縣立永靖國小,彰化縣,永靖鄉,[512]彰化縣永靖鄉永東村中山路二段65號,(04)8221812,NA,120.312222,23.500443,23.920611,120.5481571,1,1
944,944,國民小學,74698,縣立田中國小,彰化縣,田中鎮,[520]彰化縣田中鎮南路里中州路177號,(04)8742013,NA,120.174362,23.471402,23.8580393,120.5874363,1,1
968,968,國民小學,74722,縣立合興國小,彰化縣,埤頭鄉,[523]彰化縣埤頭鄉合興村文鄉路161號,(04)8922030,NA,120.447935,23.425847,23.8940744,120.4594322,1,1
1863,1863,國民小學,134709,縣立同安國小,屏東縣,南州鄉,[926]屏東縣南州鄉同安村同安路79號,(08)8642334,偏遠,120.290781,22.869121,22.4731237,120.5217675,1,1
979,979,國民小學,74733,縣立圳寮國小,彰化縣,溪州鄉,[524]彰化縣溪州鄉圳寮村下樹巷29號,(04)8802165,偏遠,120.524401,23.393965,23.8382199,120.5236753,1,1
915,915,國民小學,74669,縣立好修國小,彰化縣,埔鹽鄉,[516]彰化縣埔鹽鄉好修村員鹿路二段149號,(04)8653555,NA,120.476683,23.59013,24.0072742,120.4596718,1,1
1233,1233,國民小學,94671,縣立安南國小,雲林縣,東勢鄉,[635]雲林縣東勢鄉安南村安南路109號,(05)6991454,NA,120.32831,23.896073,23.7049714,120.2492016,1,1
643,643,國民小學,54686,縣立成功國小,苗栗縣,後龍鎮,[356]苗栗縣後龍鎮水尾里12鄰104之1號,(037)722211,NA,120.819769,24.206718,24.6265289,120.7651664,1,1
1320,1320,國民小學,104604,縣立竹村國小,嘉義縣,朴子市,[613]嘉義縣朴子市竹村里36號,(05)3693628,偏遠,120.904776,22.365426,23.4402073,120.2483881,1,1
999,999,國民小學,74753,縣立竹塘國小,彰化縣,竹塘鄉,[525]彰化縣竹塘鄉竹塘村文化街20號,(04)8972039,NA,120.920679,24.394243,23.8607298,120.4287371,1,1
1947,1947,國民小學,144622,縣立利嘉國小,臺東縣,卑南鄉,[954]臺東縣卑南鄉利嘉村利嘉路666號,(08)9380121,偏遠,120.292481,22.798857,22.776558,121.062103,1,1
937,937,國民小學,74691,縣立村上國小,彰化縣,大村鄉,[515]彰化縣大村鄉村上村中山路二段242號,(04)8533680,NA,120.252256,23.509453,23.9887812,120.5646498,1,1
900,900,國民小學,74654,縣立秀水國小,彰化縣,秀水鄉,[504]彰化縣秀水鄉安東村中山路257號,(04)7692756,NA,120.240472,23.461029,24.0349675,120.5034394,1,1
1341,1341,國民小學,104626,縣立秀林國小,嘉義縣,民雄鄉,[621]嘉義縣民雄鄉北斗村北勢仔17號,(05)2215690,NA,121.382624,23.102212,23.5342051,120.4571042,1,1
899,899,國民小學,74653,縣立育新國小,彰化縣,福興鄉,[506]彰化縣福興鄉二港村福正路4號,(04)7802521,NA,120.247937,23.466659,24.041722,120.41267,1,1
874,874,國民小學,74628,縣立和東國小,彰化縣,和美鎮,[508]彰化縣和美鎮和東里彰美路五段210號,(04)7552724,NA,120.867647,24.382739,24.1087102,120.5016233,1,1
1395,1395,國民小學,104685,縣立和睦國小,嘉義縣,中埔鄉,[606]嘉義縣中埔鄉和美村後庄16號,(05)2304511,NA,120.667892,23.99511,23.453018,120.460212,1,1
216,216,國民小學,24602,縣立宜蘭國小,宜蘭縣,宜蘭市,[260]宜蘭縣宜蘭市崇聖街2號,(03)9322210,NA,121.466129,25.052926,24.7531529,121.7540924,1,1
1176,1176,國民小學,94613,縣立東和國小,雲林縣,古坑鄉,[646]雲林縣古坑鄉東和村文化路120號,(05)5263153,NA,120.604764,23.829556,23.6846672,120.5681675,1,1
1170,1170,國民小學,94607,縣立林頭國小,雲林縣,斗六市,[640]雲林縣斗六市林頭里榮譽路177號,(05)5322538,NA,120.58656,23.897501,23.7044509,120.5572041,1,1
1161,1161,國民小學,84751,縣立前山國小,南投縣,竹山鎮,[557]南投縣竹山鎮自強路100號,(049)2660662,NA,120.495771,22.456799,23.7517465,120.6783742,1,1
234,234,國民小學,24620,縣立南安國小,宜蘭縣,蘇澳鎮,[270]宜蘭縣蘇澳鎮南建里學府路122號,(03)9962664,NA,121.428099,25.05429,24.578909,121.8684428,1,1
1385,1385,國民小學,104675,縣立柳林國小,嘉義縣,水上鄉,[608]嘉義縣水上鄉柳林村92號,(05)2683240,NA,120.955321,23.948559,23.4296769,120.4170377,1,1
866,866,國民小學,74620,縣立茄荖國小,彰化縣,芬園鄉,[502]彰化縣芬園鄉茄荖村嘉北街96號,(049)2523018,NA,120.734732,24.588097,24.0146333,120.6431194,1,1
930,930,國民小學,74684,縣立員東國小,彰化縣,員林市,[510]彰化縣員林市員東路二段12號,(04)8311022,NA,120.344974,23.555743,23.961945,120.5873331,1,1
1038,1038,國民小學,84615,縣立埔里國小,南投縣,埔里鎮,[545]南投縣埔里鎮西門里西康路127號,(049)2982034,NA,120.460857,24.106487,23.9683835,120.9669258,1,1
1854,1854,國民小學,134700,縣立崁頂國小,屏東縣,崁頂鄉,[924]屏東縣崁頂鄉崁頂村中正路119號,(08)8631959,偏遠,120.358101,22.753304,22.5135841,120.5120381,1,1
1238,1238,國民小學,94676,縣立崙豐國小,雲林縣,臺西鄉,[636]雲林縣臺西鄉永豐村崙豐路42號,(05)6982142,NA,120.528452,24.062891,23.7204448,120.2091745,1,1
1935,1935,國民小學,144610,縣立康樂國小,臺東縣,臺東市,[950]臺東縣臺東市山西路一段256號,(089)226131,偏遠,120.356065,22.723045,22.7544289,121.1195118,1,1
2029,2029,國民小學,154616,縣立康樂國小,花蓮縣,新城鄉,[971]花蓮縣新城鄉康樂村康樂一街38號,(03)8265597,NA,121.607778,24.052503,24.0525588,121.6078012,1,1
965,965,國民小學,74719,縣立陸豐國小,彰化縣,田尾鄉,[522]彰化縣田尾鄉陸豐村民生路三段200號,(04)8222563,NA,120.397155,23.428896,23.9038461,120.5221524,1,1
956,956,國民小學,74710,縣立復興國小,彰化縣,二水鄉,[530]彰化縣二水鄉復興村員集路五段472號,(04)8745935,NA,120.245568,23.336017,23.82964,120.6046678,1,1
1230,1230,國民小學,94668,縣立復興國小,雲林縣,褒忠鄉,[634]雲林縣褒忠鄉新湖村復興路71號,(05)6972490,偏遠,120.384692,24.006965,23.7046813,120.2840995,1,1
952,952,國民小學,74706,縣立朝興國小,彰化縣,社頭鄉,[511]彰化縣社頭鄉朝興村社石路91號,(04)8732484,NA,120.286118,23.37404,23.9082898,120.6063519,1,1
910,910,國民小學,74664,縣立湖南國小,彰化縣,溪湖鎮,[514]彰化縣溪湖鎮大竹里彰水路二段725號,(04)8816845,NA,120.160567,23.330393,23.9499238,120.4803828,1,1
1200,1200,國民小學,94637,縣立莿桐國小,雲林縣,莿桐鄉,[647]雲林縣莿桐鄉莿桐村中正路147號,(05)5842065,NA,120.567506,23.816027,23.757321,120.4986505,1,1
268,268,國民小學,24656,縣立順安國小,宜蘭縣,冬山鄉,[269]宜蘭縣冬山鄉順安村永興路二段17號,(03)9583445,NA,121.766272,24.688759,24.6549982,121.7634685,1,1
1218,1218,國民小學,94655,縣立廉使國小,雲林縣,虎尾鎮,[632]雲林縣虎尾鎮廉使里文科路1410號,(05)6322703,NA,120.348376,23.835808,23.7165168,120.4208361,1,1
1821,1821,國民小學,134666,縣立新生國小,屏東縣,內埔鄉,[912]屏東縣內埔鄉大新村大新路109號,(08)7708211,偏遠,120.420439,22.630524,22.66729,120.590885,1,1
1845,1845,國民小學,134691,縣立新園國小,屏東縣,新園鄉,[932]屏東縣新園鄉新園村媽祖路49號,(08)8681113,偏遠,120.303827,22.782054,22.5240313,120.4517278,1,1
1775,1775,國民小學,134617,縣立萬丹國小,屏東縣,萬丹鄉,[913]屏東縣萬丹鄉寶厝村萬新路1497號,(08)7772014,NA,120.329527,23.290136,22.5825849,120.4890535,1,1
992,992,國民小學,74746,縣立萬合國小,彰化縣,二林鎮,[526]彰化縣二林鎮萬合里江山巷1號,(04)8902164,偏遠,120.585972,23.473552,23.9252818,120.4089755,1,1
1276,1276,國民小學,94714,縣立僑美國小,雲林縣,北港鎮,[651]雲林縣北港鎮草湖里華勝路655號,(05)7832307,NA,120.547724,22.557031,23.600974,120.306001,1,1
1199,1199,國民小學,94636,縣立僑真國小,雲林縣,斗南鎮,[630]雲林縣斗南鎮延平路二段642號,(05)5972241,NA,120.522925,23.839076,23.6675557,120.4751902,1,1
1158,1158,國民小學,84748,縣立漳興國小,南投縣,南投市,[540]南投縣南投市復興路669號,(049)2224013,NA,120.449937,22.463386,23.9187839,120.6816608,1,1
1354,1354,國民小學,104639,縣立蒜頭國小,嘉義縣,六腳鄉,[615]嘉義縣六腳鄉蒜頭村188號,(05)3802025,NA,120.868276,22.294293,23.4964097,120.2930943,1,1
581,581,國民小學,54616,縣立銅鑼國小,苗栗縣,銅鑼鄉,[366]苗栗縣銅鑼鄉福興村文化街1號,(037)981013,NA,120.955037,24.850843,24.4895462,120.7905951,1,1
1244,1244,國民小學,94682,縣立廣興國小,雲林縣,西螺鎮,[648]雲林縣西螺鎮廣興里廣興路59號,(05)5863094,NA,120.683949,23.905829,23.7672149,120.4574115,1,1
1812,1812,國民小學,134656,縣立潮東國小,屏東縣,潮州鎮,[920]屏東縣潮州鎮九塊里復興路66號,(08)7871364,NA,120.378585,22.504297,22.522896,120.5602726,1,1
2034,2034,國民小學,154621,縣立稻香國小,花蓮縣,吉安鄉,[973]花蓮縣吉安鄉稻香村稻香路99號,(03)8524663,NA,121.569151,23.963231,23.9632161,121.5691568,1,1
1265,1265,國民小學,94703,縣立橋頭國小,雲林縣,麥寮鄉,[638]雲林縣麥寮鄉橋頭村仁德路248號,(05)6912358,NA,120.646004,22.297729,23.797401,120.273153,1,1
612,612,國民小學,54650,縣立頭份國小,苗栗縣,頭份市,[351]苗栗縣頭份市頭份里中正路219號,(037)663020,NA,120.694196,23.858975,24.6881437,120.9125727,1,1
237,237,國民小學,24623,縣立頭城國小,宜蘭縣,頭城鎮,[261]宜蘭縣頭城鎮開蘭路282號,(03)9771011,NA,121.627219,25.06872,24.8629826,121.8273255,1,1
960,960,國民小學,74714,縣立螺青國小,彰化縣,北斗鎮,[521]彰化縣北斗鎮東光里斗中路712號,(04)8882031,NA,120.192788,23.340915,23.8710807,120.5343033,1,1
921,921,國民小學,74675,縣立舊館國小,彰化縣,埔心鄉,[513]彰化縣埔心鄉舊館村員鹿路四段201號,(04)8292025,NA,120.397271,23.557967,23.9473932,120.5250985,1,1
1259,1259,國民小學,94697,縣立豐榮國小,雲林縣,崙背鄉,[637]雲林縣崙背鄉豐榮村豐榮路21號,(05)6552006,NA,120.970323,23.961071,23.7925326,120.3120054,1,1
1764,1764,國民小學,134606,縣立鶴聲國小,屏東縣,屏東市,[900]屏東縣屏東市崇武里建國路121號,(08)7521207,NA,120.233681,23.299289,22.6651485,120.4796645,1,1
1782,1782,國民小學,134624,縣立麟洛國小,屏東縣,麟洛鄉,[909]屏東縣麟洛鄉麟趾村中華路86號,(08)7221670,NA,120.309609,23.372673,22.647738,120.5227752,1,1
2635,2635,附設國民小學,21310,私立中道高中附設國小,宜蘭縣,壯圍鄉,[263]宜蘭縣壯圍鄉功勞村中央路三段312巷7號,(03)9306696,NA,121.793369,24.758948,24.7596509,121.7931918,1,0
1783,1783,國民小學,134625,縣立九如國小,屏東縣,九如鄉,[904]屏東縣九如鄉九如路二段3-1號,(08)7392159,NA,120.377791,23.32927,22.7279847,120.4886733,1,0
1190,1190,國民小學,94627,縣立九芎國小,雲林縣,林內鄉,[643]雲林縣林內鄉九芎村文化路10號,(05)5892647,NA,120.480886,23.870075,23.7449552,120.6021598,1,0
955,955,國民小學,74709,縣立二水國小,彰化縣,二水鄉,[530]彰化縣二水鄉文化村光文路119號,(04)8792040,NA,120.337183,23.404822,23.8109622,120.6170364,1,0
1338,1338,國民小學,104623,縣立三興國小,嘉義縣,民雄鄉,[621]嘉義縣民雄鄉三興村陳厝寮55號,(05)2720042,NA,121.285041,22.998414,23.5576646,120.4818224,1,0
1055,1055,國民小學,84633,縣立土城國小,南投縣,草屯鎮,[542]南投縣草屯鎮土城里中正路189號,(049)2552024,NA,120.497999,23.954129,23.9848401,120.7428993,1,0
1003,1003,國民小學,74757,縣立土庫國小,彰化縣,竹塘鄉,[525]彰化縣竹塘鄉土庫村東陽路一段362號,(04)8972140,偏遠,120.597465,24.07636,23.8494706,120.4094973,1,0
1213,1213,國民小學,94650,縣立大屯國小,雲林縣,虎尾鎮,[632]雲林縣虎尾鎮東屯里147號,(05)6651284,NA,120.32034,23.85302,23.7030636,120.3983097,1,0
1951,1951,國民小學,144627,縣立大南國小,臺東縣,卑南鄉,[954]臺東縣卑南鄉東興村東園一街40號,(089)382402,偏遠,120.498791,22.669079,22.7641509,121.0433657,1,0
1814,1814,國民小學,134658,縣立五溝國小,屏東縣,萬巒鄉,[923]屏東縣萬巒鄉五溝村西盛路89號,(08)7832285,偏遠,120.411434,22.479162,22.592127,120.596362,1,0
2124,2124,國民小學,164609,縣立五德國小,澎湖縣,馬公市,[880]澎湖縣馬公市五德里32號,(06)9951327,偏遠,119.590752,23.527648,23.5267315,119.5876075,1,0
1208,1208,國民小學,94645,縣立仁和國小,雲林縣,大埤鄉,[631]雲林縣大埤鄉豐岡村仁和路4號,(05)5912454,NA,120.419359,23.954087,23.6620108,120.4224396,1,0
1858,1858,國民小學,134704,縣立仁和國小,屏東縣,林邊鄉,[927]屏東縣林邊鄉仁和村中山路417號,(08)8752201,偏遠,120.329869,22.88323,22.4379569,120.5118701,1,0
254,254,國民小學,24640,縣立內城國(中)小,宜蘭縣,員山鄉,[264]宜蘭縣員山鄉內城村內城路545號,(03)9221846,NA,121.44451,25.186023,24.7188831,121.6875013,1,0
918,918,國民小學,74672,縣立天盛國小,彰化縣,埔鹽鄉,[516]彰化縣埔鹽鄉天盛村番金路68之1號,(04)8650842,偏遠,120.429436,23.555138,23.9843329,120.4283214,1,0
1349,1349,國民小學,104634,縣立文昌國小,嘉義縣,新港鄉,[616]嘉義縣新港鄉宮前村古民街12號,(05)3742172,NA,121.472322,23.415621,23.5535043,120.3504646,1,0
1875,1875,國民小學,134722,縣立水泉國小,屏東縣,恆春鎮,[946]屏東縣恆春鎮水泉里頂泉路1號,(08)8866208,特偏,120.182354,22.91319,21.9402976,120.7325618,1,0
1175,1175,國民小學,94612,縣立古坑國(中)小,雲林縣,古坑鄉,[646]雲林縣古坑鄉朝陽路3號,(05)5821024,NA,120.61785,23.810772,23.6458289,120.565828,1,0
278,278,國民小學,24668,縣立四季國小,宜蘭縣,大同鄉,[267]宜蘭縣大同鄉四季村和勳巷1號,(03)9809312,特偏,121.82063,24.825164,24.4880169,121.4260099,1,0
233,233,國民小學,24619,縣立永樂國小,宜蘭縣,蘇澳鎮,[270]宜蘭縣蘇澳鎮永樂路1號,(03)9962840,偏遠,121.543895,24.973708,24.575659,121.8441739,1,0
246,246,國民小學,24632,縣立玉田國小,宜蘭縣,礁溪鄉,[262]宜蘭縣礁溪鄉茅埔路24號,(03)9882461,NA,121.463854,25.089298,24.796754,121.790642,1,0
1085,1085,國民小學,84665,縣立田豐國小,南投縣,名間鄉,[551]南投縣名間鄉田仔村田仔巷40號,(049)2271509,NA,120.564763,23.988947,23.866687,120.676311,1,0
1036,1036,國民小學,84613,縣立光復國小,南投縣,南投市,[540]南投縣南投市光明里光明一路67號,(049)2332587,NA,120.444279,24.083928,23.9418468,120.7019642,1,0
607,607,國民小學,54643,縣立圳頭國小,苗栗縣,通霄鎮,[357]苗栗縣通霄鎮圳頭里60號,(037)754434,偏遠,120.692523,23.87607,24.4776591,120.7206251,1,0
